User,Tweet Count,Tweet,Timestamp,Compound Score,Positive Score,Neutral Score,Negative Score
BBCWorld,97,UK wife killer to be repatriated to India https://t.co/XYOgGNrAfv,Mon Aug 27 07:28:37 +0000 2018,-0.6486,0.0,0.0,0.0
BBCWorld,98,North Korea grants humanitarian release to Japanese tourist https://t.co/PNkDSuhbAg,Mon Aug 27 02:39:28 +0000 2018,0.2263,0.192,0.192,0.192
BBCWorld,99,Pope keeps silent on abuse claim letter at end of Irish visit https://t.co/Ni1gxFxWZR,Mon Aug 27 02:24:00 +0000 2018,-0.6369,0.0,0.0,0.0
BBCWorld,100,Myanmar Reuters journalists Wa Lone and Kyaw Soe Oo await verdict https://t.co/rccFV47cQz,Mon Aug 27 01:27:15 +0000 2018,-0.0258,0.213,0.213,0.213
CBSNews,1,"Former prisoner of war remembers McCain: ""John never forgot the other POWs"" https://t.co/U3yk52ofH7 https://t.co/VVS5NChVYL",Wed Aug 29 06:18:03 +0000 2018,-0.8126,0.0,0.0,0.0
CBSNews,2,Almost half of Americans can't pay for their basic needs https://t.co/bEFNVuDhJ0 https://t.co/rYcdL5dOkG,Wed Aug 29 06:03:03 +0000 2018,0.0762,0.105,0.105,0.105
CBSNews,3,"Florida's first African-American nominee for governor Andrew Gillum wins Tuesday's primary in a shocking upset, tel… https://t.co/AK9FmlveXd",Wed Aug 29 05:44:35 +0000 2018,-0.1531,0.168,0.168,0.168
CBSNews,4,4.4 magnitude earthquake shakes Southern California near Los Angeles https://t.co/lundXCJuO9 https://t.co/T2QkTUhJC0,Wed Aug 29 05:20:02 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,5,"Arizona Governor Doug Ducey will wait to name Sen. McCain’s replacement until he is laid to rest, but @NickRiccardi… https://t.co/yhJFiVgIVV",Wed Aug 29 04:58:38 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,6,Projected winner of the Arizona GOP Senate primary Rep. Martha McSally spoke to her supporters of her legislation t… https://t.co/GLgDHHDLBC,Wed Aug 29 04:38:44 +0000 2018,0.7717,0.271,0.271,0.271
CBSNews,7,"Martha McSally holds a moment of silence for late Arizona Senator John McCain, as she claims victory in the state’s… https://t.co/BOQLT9P6eN",Wed Aug 29 04:01:56 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,8,"Congresswoman Martha McSally, the favorite of the National Republican establishment, claims victory in the Arizona… https://t.co/xLJCQnA37r",Wed Aug 29 03:49:17 +0000 2018,0.4588,0.167,0.167,0.167
